time: 2000000000
128 1 1
128 2 1
128 3 1
128 4 1
128 5 1
128 6 1
128 7 1
128 8 1
128 9 1
128 10 1
128 11 1
128 12 1
128 13 1
128 14 1
128 15 1
128 16 1
128 17 1
128 18 1
128 19 1
128 20 1
128 21 1
128 22 1
128 23 1
128 24 1
128 25 1
128 26 1
128 27 1
128 28 1
128 29 1
128 30 1
128 31 1
128 32 1
128 33 1
128 34 1
128 35 1
128 36 1
128 37 1
128 38 1
128 39 1
128 40 1
128 41 1
128 42 1
128 43 1
128 44 1
128 45 1
128 46 1
128 47 1
128 48 1
128 49 1
128 50 1
128 51 1
128 52 1
128 53 1
128 54 1
128 55 1
128 56 1
128 57 1
128 58 1
128 59 1
128 60 1
128 61 1
128 62 1
128 63 1
128 64 1
128 65 1
129 1 1
129 2 1
129 3 1
129 4 1
129 5 1
129 6 1
129 7 1
129 8 1
129 9 1
129 10 1
129 11 1
129 12 1
129 13 1
129 14 1
129 15 1
129 16 1
129 17 1
129 18 1
129 19 1
129 20 1
129 21 1
129 22 1
129 23 1
129 24 1
129 25 1
129 26 1
129 27 1
129 28 1
129 29 1
129 30 1
129 31 1
129 32 1
129 33 1
129 34 1
129 35 1
129 36 1
129 37 1
129 38 1
129 39 1
129 40 1
129 41 1
129 42 1
129 43 1
129 44 1
129 45 1
129 46 1
129 47 1
129 48 1
129 49 1
129 50 1
129 51 1
129 52 1
129 53 1
129 54 1
129 55 1
129 56 1
129 57 1
129 58 1
129 59 1
129 60 1
129 61 1
129 62 1
129 63 1
129 64 1
129 65 1
time: 2100000000
128 1 1000001
128 2 1000001
128 3 1000001
128 4 1000001
128 5 1000001
128 6 1000001
128 7 1000001
128 8 1000001
128 9 1000001
128 10 1000001
128 11 1000001
128 12 1000001
128 13 1000001
128 14 1000001
128 15 1000001
128 16 1000001
128 17 1000001
128 18 1000001
128 19 1000001
128 20 1000001
128 21 1000001
128 22 1000001
128 23 1000001
128 24 1000001
128 25 1000001
128 26 1000001
128 27 1000001
128 28 1000001
128 29 1000001
128 30 1000001
128 31 1000001
128 32 1000001
128 33 1000001
128 34 1000001
128 35 1000001
128 36 1000001
128 37 1000001
128 38 1000001
128 39 1000001
128 40 1000001
128 41 1000001
128 42 1000001
128 43 1000001
128 44 1000001
128 45 1000001
128 46 1000001
128 47 1000001
128 48 1000001
128 49 1000001
128 50 1000001
128 51 1000001
128 52 1000001
128 53 1000001
128 54 1000001
128 55 1000001
128 56 1000001
128 57 1000001
128 58 1000001
128 59 1000001
128 60 1000001
128 61 1000001
128 62 1000001
128 63 1000001
128 64 1000001
128 65 1000001
129 1 1000001
129 2 1000001
129 3 1000001
129 4 1000001
129 5 1000001
129 6 1000001
129 7 1000001
129 8 1000001
129 9 1000001
129 10 1000001
129 11 1000001
129 12 1000001
129 13 1000001
129 14 1000001
129 15 1000001
129 16 1000001
129 17 1000001
129 18 1000001
129 19 1000001
129 20 1000001
129 21 1000001
129 22 1000001
129 23 1000001
129 24 1000001
129 25 1000001
129 26 1000001
129 27 1000001
129 28 1000001
129 29 1000001
129 30 1000001
129 31 1000001
129 32 1000001
129 33 1000001
129 34 1000001
129 35 1000001
129 36 1000001
129 37 1000001
129 38 1000001
129 39 1000001
129 40 1000001
129 41 1000001
129 42 1000001
129 43 1000001
129 44 1000001
129 45 1000001
129 46 1000001
129 47 1000001
129 48 1000001
129 49 1000001
129 50 1000001
129 51 1000001
129 52 1000001
129 53 1000001
129 54 1000001
129 55 1000001
129 56 1000001
129 57 1000001
129 58 1000001
129 59 1000001
129 60 1000001
129 61 1000001
129 62 1000001
129 63 1000001
129 64 1000001
129 65 1000001
time: 2200000000
128 1 2000001
128 2 2000001
128 3 2000001
128 4 2000001
128 5 2000001
128 6 2000001
128 7 2000001
128 8 2000001
128 9 2000001
128 10 2000001
128 11 2000001
128 12 2000001
128 13 2000001
128 14 2000001
128 15 2000001
128 16 2000001
128 17 2000001
128 18 2000001
128 19 2000001
128 20 2000001
128 21 2000001
128 22 2000001
